provision_id,subject,section,primary_dimension,kind,owning_unit,owners,delegation_note
A287,decision-sovereign-and-sub-sovereign-boundary,system-responsibility,安全與稽核,mixed,UNIT_RUNTIME,automation;automation-sovereign;decision;decision-sovereign;decision-sovereign-and-sub-sovereign;generic-unregistered-system-sovereign;permission;runtime-sovereign;sub-sovereign,"delegate business content, retain governance shell"
A288,architecture-catalog-state-and-boundary-model,system-responsibility,模型/推論,mixed,UNIT_RUNTIME,,"delegate business content, retain governance shell"
A289,permission-owned-module-test-suite-architecture-directory,system-responsibility,模型/推論,mixed,UNIT_RUNTIME,decision;decision-sovereign;health-maintenance-test-sub-sovereign;permission;permission-sovereign,"delegate business content, retain governance shell"
A29,codex,interpretation-and-conflict,治理/權責,governance,codex-retained,,retain in codex (governance/boundary)
A290,top-level-directory-path-special-law,top-level-directory-path-special-law,模型/推論,mixed,UNIT_PERMISSION,permission;permission-sovereign,"delegate business content, retain governance shell"
A291,mandatory-declaration-and-implementation-force,general-provisions,時限/預算,mixed,codex-retained,,"delegate business content, retain governance shell"
A292,mandatory-implementation-obligation-special-law,mandatory-implementation-obligation-special-law,時限/預算,mixed,UNIT_DECISION,decision;health-maintenance-test-sub-sovereign;permission;permission-sovereign,"delegate business content, retain governance shell"
A293,anti-jailbreak-and-instruction-provenance-special-law,anti-jailbreak-special-law,模型/推論,mixed,codex-retained,permission,"delegate business content, retain governance shell"
A294,system-stability-fault-reduction-self-repair-speed-and-isolation-special-law,system-reliability-performance-repair-isolation-special-law,時限/預算,mixed,UNIT_RUNTIME,automation;automation-sovereign;decision;decision-sovereign;health-maintenance-test-sub-sovereign;permission;permission-sovereign;resource-dependency-sync-sub-sovereign;runtime-sovereign,"delegate business content, retain governance shell"
A295,星澄-audit-inspection-capability-strengthening,星澄-chinese-codex-confidentiality-special-law,時限/預算,mixed,UNIT_ASSISTANT,decision;health-maintenance-test-sub-sovereign;permission;permission-sovereign,"delegate business content, retain governance shell"
A296,noninterrupting-channel-anomaly-isolation,information-communication-special-law,時限/預算,mixed,UNIT_PLATFORM,,"delegate business content, retain governance shell"
A297,top-level-sovereign-decision-only-boundary,system-responsibility,時限/預算,mixed,UNIT_RUNTIME,automation;automation-sovereign;decision;decision-sovereign;permission;permission-sovereign;runtime-sovereign;sub-sovereign;top-level-sovereign,"delegate business content, retain governance shell"
A298,governance-authority-canonical-name-renamed-to-codex,general-provisions,安全與稽核,mixed,codex-retained,decision,"delegate business content, retain governance shell"
A299,system-decision-sovereign-renamed-to-decision-sovereign,system-responsibility,安全與稽核,mixed,UNIT_RUNTIME,active-use-of-system-decision-sovereign;decision;decision-sovereign;system-decision-sovereign;system-decision-sovereign-renamed-to-decision-sovereign,"delegate business content, retain governance shell"
A3,storage,general-provisions,模型/推論,mixed,codex-retained,,"delegate business content, retain governance shell"
A30,resource,sovereignty,模型/推論,mixed,codex-retained,permission;resource-dependency-sync-sub-sovereign,"delegate business content, retain governance shell"
A300,system-runtime-sovereign-renamed-to-runtime-sovereign,system-responsibility,安全與稽核,mixed,UNIT_RUNTIME,active-use-of-system-runtime-sovereign;decision;runtime-sovereign;system-runtime;system-runtime-sovereign;system-runtime-sovereign-renamed-to-runtime-sovereign;system-sub-sovereign,"delegate business content, retain governance shell"
A301,automation-sovereign,system-responsibility,模型/推論,mixed,UNIT_RUNTIME,automation;automation-sovereign;decision;permission;specialized-decision-sovereign;system-sub-sovereign,"delegate business content, retain governance shell"
A302,maintenance-sovereign-demoted-under-decision-sovereign,system-responsibility,資料/SQL,mixed,UNIT_RUNTIME,decision;decision-sovereign;maintenance-sovereign;maintenance-sovereign-demoted-under-decision-sovereign;maintenance-sub-sovereign,"delegate business content, retain governance shell"
A303,startup-sovereign-demoted-under-runtime-sovereign,system-responsibility,工程實作要求,mixed,UNIT_RUNTIME,decision;runtime-sovereign;startup-sovereign;startup-sovereign-demoted-under-runtime-sovereign;startup-sub-sovereign,"delegate business content, retain governance shell"
A304,data-sovereign-demoted-under-decision-sovereign,system-responsibility,模型/推論,mixed,UNIT_RUNTIME,data-sovereign;data-sovereign-demoted-under-decision-sovereign;data-sub-sovereign;decision;decision-sovereign,"delegate business content, retain governance shell"
A305,resource-sovereign-demoted-under-automation-sovereign,system-responsibility,工程實作要求,mixed,UNIT_RUNTIME,automation;automation-sovereign;decision;resource-sovereign;resource-sovereign-demoted-under-automation-sovereign;resource-sub-sovereign,"delegate business content, retain governance shell"
A306,integration-sovereign-demoted-under-automation-sovereign,system-responsibility,工程實作要求,mixed,UNIT_RUNTIME,automation;automation-sovereign;decision;integration-sovereign;integration-sovereign-demoted-under-automation-sovereign;integration-sub-sovereign,"delegate business content, retain governance shell"
A307,third-party-sovereign-demoted-under-automation-sovereign,system-responsibility,工程實作要求,mixed,UNIT_RUNTIME,automation;automation-sovereign;decision;third-party-sovereign;third-party-sovereign-demoted-under-automation-sovereign;third-party-sub-sovereign,"delegate business content, retain governance shell"
A308,language-review-sovereign-demoted-under-permission-sovereign,system-responsibility,工程實作要求,mixed,UNIT_RUNTIME,decision;language-review-sovereign;language-review-sovereign-demoted-under-permission-sovereign;language-review-sub-sovereign;permission;permission-sovereign,"delegate business content, retain governance shell"
A309,system-programming-sovereign-demoted-under-automation-sovereign,system-responsibility,工程實作要求,mixed,UNIT_RUNTIME,automation;automation-sovereign;decision;system-programming-sovereign;system-programming-sovereign-demoted-under-automation-sovereign;system-programming-sub-sovereign,"delegate business content, retain governance shell"
A31,data,sovereignty,資料/SQL,mixed,codex-retained,data-governance-sub-sovereign;permission,"delegate business content, retain governance shell"
A310,learning-system-sovereign-demoted-under-automation-sovereign,system-responsibility,工程實作要求,mixed,UNIT_RUNTIME,automation;automation-sovereign;decision;learning-system-sovereign;learning-system-sovereign-demoted-under-automation-sovereign;learning-system-sub-sovereign,"delegate business content, retain governance shell"
A311,星澄-renamed-星澄-chinese-and-elevated-independent-privileged-institution,星澄-chinese-codex-confidentiality-special-law,安全與稽核,mixed,UNIT_ASSISTANT,as-sovereign;decision;permission;sub-sovereign,"delegate business content, retain governance shell"
A312,permission-sovereign-authority-converged-to-permission-review-only,permission-identity-special-law,時限/預算,mixed,UNIT_PERMISSION,decision;decision-sovereign;directory-sub-sovereign;permission;permission-sovereign,"delegate business content, retain governance shell"
A313,permission-review-authority-transferred-to-星澄,permission-identity-special-law,安全與稽核,mixed,UNIT_PERMISSION,decision;decision-sovereign;permission;permission-sovereign,"delegate business content, retain governance shell"
A314,automatic-cleanup-backup-repair-update-converged-under-automation-sovereign,system-reliability-performance-repair-isolation-special-law,時限/預算,mixed,UNIT_RUNTIME,automatic-cleanup-backup-repair-update-converged-under-automation-sovereign;automation;automation-sovereign;decision;permission;sub-sovereign,"delegate business content, retain governance shell"
A315,complete-sub-sovereign-parent-reallocation,system-responsibility,資料/SQL,mixed,UNIT_RUNTIME,automation;automation-sovereign;change-acceptance-sub-sovereign;complete-sub-sovereign;data-governance-sub-sovereign;decision;decision-sovereign;directory-sub-sovereign;health-maintenance-test-sub-sovereign;identity-group-sub-sovereign;integration-sub-sovereign;language-review-sub-sovereign;learning-system-sub-sovereign;permission;permission-sovereign;policy-architecture-sub-sovereign;priority-capability-sub-sovereign;resource-sub-sovereign;runtime-sovereign;startup-sub-sovereign;sub-sovereign;system-programming-sub-sovereign;system-sub-sovereign;third-party-sub-sovereign,"delegate business content, retain governance shell"
A316,directory-sub-sovereign-under-permission-sovereign,system-responsibility,安全與稽核,mixed,UNIT_RUNTIME,decision;decision-sovereign;directory-sub-sovereign;directory-sub-sovereign-under-permission-sovereign;permission;permission-sovereign,"delegate business content, retain governance shell"
A317,identity-group-sub-sovereign-under-permission-sovereign,system-responsibility,安全與稽核,mixed,UNIT_RUNTIME,decision;decision-sovereign;identity-group-sub-sovereign;identity-group-sub-sovereign-under-permission-sovereign;permission;permission-sovereign,"delegate business content, retain governance shell"
A318,decision-runtime-automation-sovereign-exclusive-boundaries,system-responsibility,時限/預算,mixed,UNIT_RUNTIME,automation;automation-sovereign;cross-sovereign;decision;decision-runtime-automation-sovereign;decision-sovereign;permission;runtime-sovereign;sub-sovereign,"delegate business content, retain governance shell"
A319,permission-sovereign-and-星澄-independent-privileged-institution-boundary,permission-identity-special-law,安全與稽核,mixed,UNIT_PERMISSION,decision;decision-sovereign;permission;permission-sovereign;sub-sovereign,"delegate business content, retain governance shell"
A32,integration,sovereignty,工程實作要求,mixed,codex-retained,channel-contract-sync-sub-sovereign;cross-sovereign;decision,"delegate business content, retain governance shell"
A320,governance-authority-fully-renamed-to-codex,general-provisions,安全與稽核,mixed,codex-retained,decision,"delegate business content, retain governance shell"
A321,星澄-canonical-identity-full-renaming,星澄-chinese-codex-confidentiality-special-law,安全與稽核,mixed,UNIT_ASSISTANT,,"delegate business content, retain governance shell"
A322,automation-sovereign-integrated-duty-and-child-split,system-responsibility,模型/推論,mixed,UNIT_RUNTIME,automatic-log-sync-sub-sovereign;automation;automation-sovereign;channel-contract-sync-sub-sovereign;cleanup-retention-sync-sub-sovereign;decision;dependency-sync-sub-sovereign;integration-sub-sovereign;learning-evidence-sync-sub-sovereign;learning-system-sub-sovereign;release-update-sync-sub-sovereign;repair-backup-sync-sub-sovereign;resource-dependency-sync-sub-sovereign;resource-sub-sovereign;runtime-state-sync-sub-sovereign;sub-sovereign;system-programming-sub-sovereign;third-party-sub-sovereign,"delegate business content, retain governance shell"
A323,decision-sovereign-child-reallocation,system-responsibility,資料/SQL,mixed,UNIT_RUNTIME,change-acceptance-sub-sovereign;data-governance-sub-sovereign;data-sub-sovereign;decision;decision-sovereign;health-maintenance-test-sub-sovereign;maintenance-sub-sovereign;permission;permission-sovereign;permission-sub-sovereign;policy-architecture-sub-sovereign;priority-capability-sub-sovereign;sub-sovereign,"delegate business content, retain governance shell"
A324,sub-sovereign-three-duty-maximum,system-responsibility,安全與稽核,mixed,UNIT_RUNTIME,decision;sub-sovereign,"delegate business content, retain governance shell"
A325,capability-based-module-to-sub-sovereign-reallocation,system-responsibility,模型/推論,mixed,UNIT_RUNTIME,automatic-log-sync-sub-sovereign;automation;capability-based-module-to-sub-sovereign;change-acceptance-sub-sovereign;channel-contract-sync-sub-sovereign;cleanup-retention-sync-sub-sovereign;data-governance-sub-sovereign;decision;directory-sub-sovereign;health-maintenance-test-sub-sovereign;identity-group-sub-sovereign;learning-evidence-sync-sub-sovereign;permission;policy-architecture-sub-sovereign;primary-sub-sovereign;priority-capability-sub-sovereign;release-update-sync-sub-sovereign;repair-backup-sync-sub-sovereign;resource-dependency-sync-sub-sovereign;runtime-state-sync-sub-sovereign;startup-sub-sovereign;sub-sovereign;system-sub-sovereign,"delegate business content, retain governance shell"
A326,information-layer-permission-and-channel-operation-boundary,information-communication-special-law,資料/SQL,mixed,UNIT_PLATFORM,automation;automation-sovereign;channel-contract-sync-sub-sovereign;decision;decision-sovereign;permission;permission-sovereign;runtime-sovereign,"delegate business content, retain governance shell"
A327,canonical-human-name-and-machine-domain-alias-boundary,system-responsibility,資料/SQL,mixed,UNIT_RUNTIME,sub-sovereign,"delegate business content, retain governance shell"
A328,xingcheng-free-entry-and-exit-privilege,星澄-chinese-codex-confidentiality-special-law,安全與稽核,mixed,UNIT_ASSISTANT,decision;permission;sub-sovereign,"delegate business content, retain governance shell"
A329,backend-code-update-automation-sovereign-privilege,version-release-hot-update-rollback-special-law,時限/預算,mixed,UNIT_AUTOMATION,automation;automation-sovereign;backend-code-update-automation-sovereign;decision;decision-sovereign;permission;permission-sovereign,"delegate business content, retain governance shell"
A33,boundary-data-integrity,sovereignty,資料/SQL,mixed,codex-retained,data-governance-sub-sovereign;health-maintenance-test-sub-sovereign,"delegate business content, retain governance shell"
A330,automation-sovereign-global-update-execution-and-convergence,version-release-hot-update-rollback-special-law,時限/預算,mixed,UNIT_AUTOMATION,automation;automation-sovereign;decision;permission,"delegate business content, retain governance shell"
A331,whole-codex-integrity-and-gap-closure-special-law,version-release-hot-update-rollback-special-law,資料/SQL,mixed,UNIT_AUTOMATION,decision;sub-sovereign,"delegate business content, retain governance shell"
A332,legacy-authority-reference-resolution-special-law,version-release-hot-update-rollback-special-law,資料/SQL,mixed,UNIT_AUTOMATION,decision;sub-sovereign,"delegate business content, retain governance shell"
A333,physical-architecture-parent-and-path-convergence-special-law,version-release-hot-update-rollback-special-law,模型/推論,mixed,UNIT_AUTOMATION,,"delegate business content, retain governance shell"
A334,machine-readable-sovereign-hierarchy-module-assignment-and-signature-special-law,version-release-hot-update-rollback-special-law,安全與稽核,mixed,UNIT_AUTOMATION,decision;machine-readable-sovereign;permission;sub-sovereign,"delegate business content, retain governance shell"
A335,codex-directory-closure-certification-and-non-indexing-special-law,version-release-hot-update-rollback-special-law,模型/推論,mixed,UNIT_AUTOMATION,decision;permission;permission-sovereign;sub-sovereign,"delegate business content, retain governance shell"
A336,xingcheng-native-programming-language-review-and-system-automation-executor-special-law,sovereignty,模型/推論,mixed,codex-retained,automation;automation-sovereign;decision;language-review-sub-sovereign;permission;permission-sovereign;sub-sovereign;system-programming-sub-sovereign,"delegate business content, retain governance shell"
A337,xingcheng-whole-system-parallel-automatic-operation-special-law,sovereignty,時限/預算,mixed,codex-retained,automation;automation-sovereign;decision;language-review-sub-sovereign;permission;permission-sovereign;sub-sovereign;system-programming-sub-sovereign,"delegate business content, retain governance shell"
A338,exact-language-statistics-and-powershell-governed-script-exception-special-law,language-source-native-boundary-special-law,時限/預算,mixed,UNIT_PLATFORM,automation;decision;permission,"delegate business content, retain governance shell"
A339,canonical-pybind11-c-api-c-thunk-cpp-path-and-logical-domain-map,language-source-native-boundary-special-law,模型/推論,mixed,UNIT_PLATFORM,,"delegate business content, retain governance shell"
A340,cross-language-boundary-release-hard-gate,language-source-native-boundary-special-law,模型/推論,mixed,UNIT_PLATFORM,automation;automation-sovereign;permission;permission-sovereign,"delegate business content, retain governance shell"
A341,exclusive-language-capability-owner-and-caller-matrix,language-source-native-boundary-special-law,時限/預算,mixed,UNIT_PLATFORM,decision,"delegate business content, retain governance shell"
A342,canonical-python-application-domain-infrastructure-architecture,language-source-native-boundary-special-law,資料/SQL,mixed,UNIT_PLATFORM,,"delegate business content, retain governance shell"
A343,correctness-first-python-first-native-promotion-record-special-law,language-source-native-boundary-special-law,資料/SQL,mixed,UNIT_PLATFORM,decision,"delegate business content, retain governance shell"
A344,single-c-abi-contract-and-pybind11-purpose-separation-special-law,language-source-native-boundary-special-law,資料/SQL,mixed,UNIT_PLATFORM,,"delegate business content, retain governance shell"
A345,minimal-c-abi-function-budget-and-deferred-capability-table-special-law,language-source-native-boundary-special-law,時限/預算,mixed,UNIT_PLATFORM,,"delegate business content, retain governance shell"
A346,cpp-six-domain-namespace-and-include-dependency-special-law,language-source-native-boundary-special-law,時限/預算,mixed,UNIT_PLATFORM,,"delegate business content, retain governance shell"
A347,language-role-directory-query-budget-and-source-origin-special-law,language-source-native-boundary-special-law,時限/預算,mixed,UNIT_PLATFORM,,"delegate business content, retain governance shell"
A348,language-boundary-gate-and-data-only-policy-evidence-only-checker-special-law,language-source-native-boundary-special-law,資料/SQL,mixed,UNIT_PLATFORM,decision;permission,"delegate business content, retain governance shell"
A349,powershell-governance-conflict-and-legacy-infrastructure-evidence-special-law,language-source-native-boundary-special-law,資料/SQL,mixed,UNIT_PLATFORM,decision,"delegate business content, retain governance shell"
A35,architecture-hybrid,system-responsibility,資料/SQL,mixed,UNIT_RUNTIME,,"delegate business content, retain governance shell"
A350,canonical-typescript-python-sql-native-csharp-topology-special-law,language-source-native-boundary-special-law,時限/預算,mixed,UNIT_PLATFORM,permission,"delegate business content, retain governance shell"
A351,cross-language-allowed-use-and-direct-prohibition-matrix,language-source-native-boundary-special-law,模型/推論,mixed,UNIT_PLATFORM,decision;permission,"delegate business content, retain governance shell"
A352,explicit-language-and-native-dependency-fail-matrix,language-source-native-boundary-special-law,資料/SQL,mixed,UNIT_PLATFORM,,"delegate business content, retain governance shell"
A353,semantic-dependency-evidence-and-a205-information-layer-verification,language-source-native-boundary-special-law,資料/SQL,mixed,UNIT_PLATFORM,,"delegate business content, retain governance shell"
A354,typescript-governance-checker-structure-and-dependency-dag-evidence-special-law,language-source-native-boundary-special-law,資料/SQL,mixed,UNIT_PLATFORM,decision,"delegate business content, retain governance shell"
A355,contract-parity-gate,language-source-native-boundary-special-law,時限/預算,mixed,UNIT_PLATFORM,,"delegate business content, retain governance shell"
A356,unique-capability-registry-and-ownership-role-model,language-source-native-boundary-special-law,模型/推論,mixed,UNIT_PLATFORM,,"delegate business content, retain governance shell"
A357,native-promotion-gate,language-source-native-boundary-special-law,時限/預算,mixed,UNIT_PLATFORM,,"delegate business content, retain governance shell"
A358,native-promotion-budget-benchmark-evidence-and-lifecycle,language-source-native-boundary-special-law,時限/預算,mixed,UNIT_PLATFORM,,"delegate business content, retain governance shell"
A359,build-abi-toolchain-artifact-reproducibility-gate,language-source-native-boundary-special-law,資料/SQL,mixed,UNIT_PLATFORM,,"delegate business content, retain governance shell"
A360,release-compatibility-evidence-aggregation-and-upgrade-gate,language-source-native-boundary-special-law,資料/SQL,mixed,UNIT_PLATFORM,,"delegate business content, retain governance shell"
A361,language-governance-final-decision-and-evidence-freshness-gate,language-source-native-boundary-special-law,資料/SQL,mixed,UNIT_PLATFORM,decision,"delegate business content, retain governance shell"
A362,unified-language-source-index-graph-ir-and-incremental-planner,language-source-native-boundary-special-law,模型/推論,mixed,UNIT_PLATFORM,,"delegate business content, retain governance shell"
A363,governance-full-scan-baseline-incremental-golden-parity-and-cache-correctness,language-source-native-boundary-special-law,模型/推論,mixed,UNIT_PLATFORM,decision,"delegate business content, retain governance shell"
A364,language-governance-schema-v1-stability-freeze-and-regression-corpus,language-source-native-boundary-special-law,模型/推論,mixed,UNIT_PLATFORM,decision,"delegate business content, retain governance shell"
A365,cross-store-reconciliation-global-resource-id-transport-audit-and-recovery-priority,information-communication-special-law,時限/預算,mixed,UNIT_PLATFORM,,"delegate business content, retain governance shell"
A366,xingcheng-auxiliary-repair-update-user-switch-confirmation-and-fault-cardinality,permission-identity-special-law,模型/推論,mixed,UNIT_PERMISSION,decision,"delegate business content, retain governance shell"
A367,mandatory-cross-store-data-governance-stage-order,information-communication-special-law,時限/預算,mixed,UNIT_PLATFORM,permission,"delegate business content, retain governance shell"
A368,database-runtime-pool-query-schema-health-and-cross-engine-integrity,information-communication-special-law,時限/預算,mixed,UNIT_PLATFORM,,"delegate business content, retain governance shell"
A369,unified-observable-verifiable-recoverable-local-data-platform,information-communication-special-law,時限/預算,mixed,UNIT_PLATFORM,,"delegate business content, retain governance shell"
A370,three-engine-self-observation-diagnosis-and-controlled-optimization,information-communication-special-law,時限/預算,mixed,UNIT_PLATFORM,,"delegate business content, retain governance shell"
A371,qdrant-default-rag-execution-reembedding-reconciliation-and-four-rag-behaviors,information-communication-special-law,時限/預算,mixed,UNIT_PLATFORM,,"delegate business content, retain governance shell"
A372,mandatory-local-rag-six-stage-implementation-order,information-communication-special-law,模型/推論,mixed,UNIT_PLATFORM,,"delegate business content, retain governance shell"
A373,canonical-rag-takeover-reconciliation-queue-double-write-and-evaluation,information-communication-special-law,時限/預算,mixed,UNIT_PLATFORM,permission,"delegate business content, retain governance shell"
A374,rag-index-state-reconciliation-collection-topology-and-reranker-fallback,information-communication-special-law,模型/推論,mixed,UNIT_PLATFORM,,"delegate business content, retain governance shell"
A375,governed-multi-ai-git-coordination-and-delivery-infrastructure,runtime-lifecycle-fault-isolation-special-law,模型/推論,mixed,UNIT_RUNTIME,,"delegate business content, retain governance shell"
A376,codex-non-sovereign-xingcheng-model-dialogue-and-information-layer-boundaries,permission,模型/推論,mixed,UNIT_PERMISSION,active-sovereign;codex-non-sovereign;decision;non-sovereign,"delegate business content, retain governance shell"
A377,whole-codex-integration-precedence-lifecycle-and-coherence-closure,general-provisions,模型/推論,mixed,codex-retained,automation;automation-sovereign;decision;decision-sovereign;non-sovereign;permission;permission-sovereign;runtime-sovereign,"delegate business content, retain governance shell"
A378,xingcheng-consolidated-special-law,version-release-hot-update-rollback-special-law,時限/預算,mixed,UNIT_AUTOMATION,automation;decision;permission;permission-sovereign;sub-sovereign,"delegate business content, retain governance shell"
A379,codex-directory-closure-certification-and-non-indexing-clean-successor,model-resource-gpu-special-law,時限/預算,mixed,UNIT_ENGINE,decision;permission;permission-sovereign;sub-sovereign,"delegate business content, retain governance shell"
A38,codex-language,interpretation-and-conflict,工程實作要求,mixed,codex-retained,,"delegate business content, retain governance shell"
A380,xingcheng-auxiliary-manual-repair-update-release-switches,version-release-hot-update-rollback-special-law,模型/推論,mixed,UNIT_AUTOMATION,decision,"delegate business content, retain governance shell"
A381,codex-roster-lifecycle-and-scoped-successor-closure,general-provisions,模型/推論,mixed,codex-retained,automation;automation-sovereign;decision;decision-sovereign;effective-sovereign;own-domain-sovereign;permission;permission-sovereign;runtime-sovereign;system-runtime;system-runtime-sovereign,"delegate business content, retain governance shell"
A382,non-disruptive-codex-amendment-ordinance-flow,language-source-native-boundary-special-law,資料/SQL,mixed,UNIT_PLATFORM,,"delegate business content, retain governance shell"
A383,codex-readonly-state-review-isolation,language-source-native-boundary-special-law,資料/SQL,mixed,UNIT_PLATFORM,,"delegate business content, retain governance shell"
A384,test-management-roster-and-historical-correction-closure,general-provisions,資料/SQL,mixed,codex-retained,automatic-log-sync-sub-sovereign;automation;automation-sovereign;change-acceptance-sub-sovereign;channel-contract-sync-sub-sovereign;cleanup-retention-sync-sub-sovereign;data-governance-sub-sovereign;decision;decision-sovereign;dependency-sync-sub-sovereign;directory-sub-sovereign;health-maintenance-test-sub-sovereign;identity-group-sub-sovereign;learning-evidence-sync-sub-sovereign;permission;permission-sovereign;policy-architecture-sub-sovereign;priority-capability-sub-sovereign;release-update-sync-sub-sovereign;repair-backup-sync-sub-sovereign;resource-dependency-sync-sub-sovereign;runtime-state-sync-sub-sovereign;startup-sub-sovereign;sub-sovereign;system-runtime;system-runtime-sovereign;system-sub-sovereign,"delegate business content, retain governance shell"
A385,dynamic-test-management-roster-and-closure-status-successor,general-provisions,資料/SQL,mixed,codex-retained,automation;automation-sovereign;decision;decision-sovereign;health-maintenance-test-sub-sovereign;permission;permission-sovereign;sub-sovereign;system-runtime;system-runtime-sovereign,"delegate business content, retain governance shell"
A386,dynamic-governance-code-resolution-and-hardcoding-elimination,general-provisions,時限/預算,mixed,codex-retained,permission,"delegate business content, retain governance shell"
A387,codex-canonical-reference-code-only-policy,general-provisions,模型/推論,mixed,codex-retained,permission;permission-sovereign,"delegate business content, retain governance shell"
A388,governed-environment-variable-binding-fallback,general-provisions,時限/預算,mixed,codex-retained,permission;permission-sovereign,"delegate business content, retain governance shell"
A389,timestamp-only-hardcoding-invariant,general-provisions,時限/預算,mixed,codex-retained,,"delegate business content, retain governance shell"
A39,actors,separation-and-accountability,工程實作要求,mixed,codex-retained,,"delegate business content, retain governance shell"
A390,permission-sovereign-formal-audit-validation-authority,permission,安全與稽核,mixed,UNIT_PERMISSION,permission;permission-sovereign,"delegate business content, retain governance shell"
A391,canonical-timestamp-envelope-fields,general-provisions,時限/預算,mixed,codex-retained,permission;permission-sovereign,"delegate business content, retain governance shell"
A392,xingcheng-codex-implementation-compliance-classification,version-release-hot-update-rollback-special-law,資料/SQL,mixed,UNIT_AUTOMATION,permission,"delegate business content, retain governance shell"
A393,precise-coded-fault-and-compliance-detail-display,version-release-hot-update-rollback-special-law,資料/SQL,mixed,UNIT_AUTOMATION,,"delegate business content, retain governance shell"
A394,code-reference-and-hardcoding-separation-successor,general-provisions,資料/SQL,mixed,codex-retained,,"delegate business content, retain governance shell"
A395,canonical-version-number-contract,general-provisions,模型/推論,mixed,codex-retained,,"delegate business content, retain governance shell"
A396,automatic-repair-and-update-command-code-registration,automatic-maintenance-repair-special-law,模型/推論,mixed,UNIT_AUTOMATION,decision,"delegate business content, retain governance shell"
A397,canonical-timestamp-envelope-successor,general-provisions,模型/推論,mixed,codex-retained,permission;permission-sovereign,"delegate business content, retain governance shell"
A398,automatic-repair-update-command-contract-successor,automatic-maintenance-repair-special-law,安全與稽核,mixed,UNIT_AUTOMATION,automation;automation-sovereign;decision;permission;permission-sovereign,"delegate business content, retain governance shell"
A399,timestamp-version-cross-codex-separation-interpretation,general-provisions,工程實作要求,mixed,codex-retained,,"delegate business content, retain governance shell"
A40,bootstrap,permission,治理/權責,governance,codex-retained,,retain in codex (governance/boundary)
A400,whole-system-modular-architecture,general-provisions,工程實作要求,mixed,codex-retained,automation,"delegate business content, retain governance shell"
A401,module-code-and-identity-group-itemization,general-provisions,模型/推論,mixed,codex-retained,permission,"delegate business content, retain governance shell"
A402,modular-field-scoped-refresh-no-whole-ui-refresh,general-provisions,工程實作要求,mixed,codex-retained,,"delegate business content, retain governance shell"
A403,module-fault-isolation-and-main-system-liveness,general-provisions,時限/預算,mixed,codex-retained,,"delegate business content, retain governance shell"
A404,modular-automation-and-automation-isolation,general-provisions,工程實作要求,business,codex-retained,automation;permission,"delegate to owning unit domain (successor, retain reference only)"
A405,independent-tool-single-instance-entity,general-provisions,時限/預算,mixed,codex-retained,,"delegate business content, retain governance shell"
A406,timestamp-derived-version-identity-successor,general-provisions,時限/預算,mixed,codex-retained,,"delegate business content, retain governance shell"
A407,timestamp-version-separation-interpretation-successor,general-provisions,安全與稽核,mixed,codex-retained,,"delegate business content, retain governance shell"
A408,automatic-command-contract-timestamp-version-successor,automatic-maintenance-repair-special-law,資料/SQL,mixed,UNIT_AUTOMATION,automation;automation-sovereign;decision;permission;permission-sovereign,"delegate business content, retain governance shell"
A409,dynamic-reference-policy-timestamp-version-successor,general-provisions,模型/推論,mixed,codex-retained,,"delegate business content, retain governance shell"
A41,governor-and-seal,amendment-and-protection,安全與稽核,governance,codex-retained,,retain in codex (governance/boundary)
A410,canonical-evidence-timestamp-envelope-successor,general-provisions,資料/SQL,mixed,codex-retained,permission;permission-sovereign,"delegate business content, retain governance shell"
A411,timestamp-version-issuance-and-collision-successor,general-provisions,時限/預算,mixed,codex-retained,,"delegate business content, retain governance shell"
A412,timestamp-version-change-classification-successor,general-provisions,資料/SQL,mixed,codex-retained,permission;permission-sovereign,"delegate business content, retain governance shell"
A413,timestamp-version-ledger-and-recovery-integrity,general-provisions,資料/SQL,mixed,codex-retained,,"delegate business content, retain governance shell"
A414,user-authorized-history-deletion-successor,general-provisions,資料/SQL,mixed,codex-retained,,"delegate business content, retain governance shell"
A415,active-successor-reference-and-legacy-binding-closure,general-provisions,工程實作要求,mixed,codex-retained,,"delegate business content, retain governance shell"
A416,typed-complete-successor-resolution-successor,general-provisions,模型/推論,mixed,codex-retained,,"delegate business content, retain governance shell"
A417,codex-internal-modular-architecture,general-provisions,模型/推論,mixed,codex-retained,non-sovereign;permission;permission-sovereign,"delegate business content, retain governance shell"
A418,codex-indexed-search-performance-special-law,general-provisions,模型/推論,mixed,codex-retained,,"delegate business content, retain governance shell"
A419,codex-internal-module-manifest-and-seal,general-provisions,模型/推論,mixed,codex-retained,,"delegate business content, retain governance shell"
A42,directory-write,permission,資料/SQL,mixed,UNIT_PERMISSION,data-governance-sub-sovereign;decision;direct-mutation-by-permission-sovereign;permission;permission-sovereign,"delegate business content, retain governance shell"
A420,codex-search-index-freshness-and-query-plan-gate,general-provisions,模型/推論,mixed,codex-retained,,"delegate business content, retain governance shell"
A421,codex-module-lifecycle-count-and-orphan-identity-closure,general-provisions,工程實作要求,mixed,codex-retained,,"delegate business content, retain governance shell"
A422,codex-module-and-search-manifest-complete-binding,general-provisions,模型/推論,mixed,codex-retained,,"delegate business content, retain governance shell"
A423,codex-search-physical-index-and-dependency-dag-evidence,general-provisions,資料/SQL,mixed,codex-retained,,"delegate business content, retain governance shell"
